id,codexid,cote,element,theme
38150,47,E_09_22,xiuhtic,08.01.03
38151,47,E_09_23,xihuitl_4,06.01.04
38152,47,E_09_23,ce,06.01.01
38153,47,E_09_23,calli,05.01.01
38154,47,E_09_23,xiuhtic,08.01.03
38155,47,E_09_24,xihuitl_4,06.01.04
38156,47,E_09_24,ce,06.01.01
38157,47,E_09_24,tochtli,02.02.08
38158,47,E_09_24,xiuhtic,08.01.03
38159,47,E_09_24,tlapalli,08.01.04
38160,47,E_09_25,xihuitl_4,06.01.04
38161,47,E_09_25,ce,06.01.01
38162,47,E_09_25,acatl,03.02.05
38163,47,E_09_25,tlapalli,08.01.04
38164,47,E_09_26,xihuitl_4,06.01.04
38165,47,E_09_26,ce,06.01.01
38166,47,E_09_26,tecpatl,04.04.08
38167,47,E_09_26,tlapalli,08.01.04
38168,47,E_09_27,xihuitl_4,06.01.04
38169,47,E_09_27,ce,06.01.01
38170,47,E_09_27,calli,05.01.01
38171,47,E_09_27,tlapalli,08.01.04
38172,47,E_09_28,xihuitl_4,06.01.04
38173,47,E_09_28,ce,06.01.01
38174,47,E_09_28,tochtli,02.02.08
38175,47,E_09_28,tlapalli,08.01.04
38176,47,E_09_29,xihuitl_4,06.01.04
38177,47,E_09_29,ce,06.01.01
38178,47,E_09_29,acatl,03.02.05
38179,47,E_09_29,tlapalli,08.01.04
38180,47,E_09_30,xihuitl_4,06.01.04
38181,47,E_09_30,ce,06.01.01
38182,47,E_09_30,tecpatl,04.04.08
38183,47,E_09_30,tlapalli,08.01.04
38184,47,E_09_31,xihuitl_4,06.01.04
38185,47,E_09_31,ce,06.01.01
38186,47,E_09_31,calli,05.01.01
38187,47,E_09_31,tlapalli,08.01.04
38188,47,E_09_32,xihuitl_4,06.01.04
38189,47,E_09_32,ce,06.01.01
38190,47,E_09_32,tochtli,02.02.08
38191,47,E_09_32,tlapalli,08.01.04
38192,47,E_09_33,acatl,03.02.05
38193,47,E_09_33,ce,06.01.01
38194,47,E_09_33,xihuitl_4,06.01.04
38195,47,E_09_33,tlapalli,08.01.04
38196,47,E_09_34,popoca,04.02.02
38197,47,E_09_34,chimalli,05.13.02
38198,47,E_09_36,cohuatl,02.02.20
38199,47,E_09_36,itztli,04.04.06
38200,47,E_09_38,azcatl,02.02.26
38201,47,E_09_38,potzalli,04.03.06
38202,47,E_09_39,itztli,04.04.06
38203,47,E_09_39,chimalli,05.13.02
38204,47,E_09_39,macuahuitl,05.13.05
38205,47,E_09_40,maxtlatl,05.08.02
38206,47,E_10_01,toztli,02.01.03
38207,47,E_10_01,xochitl,03.03.01
38208,47,E_10_03,itztli,04.04.06
38209,47,E_10_03,tepetl,04.03.08
38210,47,E_10_03,tetl,04.04.01
38211,47,E_10_04,tzihuactli,03.02.01
38212,47,E_10_06,tzihuactli,03.02.01
38213,47,E_10_08,xihuitl_4,06.01.04
38214,47,E_10_08,ce,06.01.01
38215,47,E_10_08,tecpatl,04.04.08
38216,47,E_10_08,coztic,08.01.06
38217,47,E_10_09,xihuitl_4,06.01.04
38218,47,E_10_09,ce,06.01.01
38219,47,E_10_09,calli,05.01.01
38220,47,E_10_09,coztic,08.01.06
38221,47,E_10_10,tlapalli,08.01.04
38222,47,E_10_10,xihuitl_4,06.01.04
38223,47,E_10_10,ce,06.01.01
38224,47,E_10_10,tochtli,02.02.08
38225,47,E_10_11,xihuitl_4,06.01.04
38226,47,E_10_11,ce,06.01.01
38227,47,E_10_11,acatl,03.02.05
38228,47,E_10_11,tlapalli,08.01.04
38229,47,E_10_12,xihuitl_4,06.01.04
