id,codexid,cote,lecture,element
3104,8,A53r_4_A,namol," olli, cihuatl, molcaxitl,"
3105,8,A53r_5_A,cuauhtlahuiz," tlanextli, tlantli, cuauhtli,"
3106,8,A53r_5_B,texcoco," comitl, texcalli,"
3107,8,A53v_1_A,conzotlan," tlantli, toztli, comitl,"
3108,8,A54r_1_A,xochiteca," xochitl, piqui,"
3109,8,A54r_2_A,xochihuitzil," huitzilin, xochitl,"
3110,8,A54r_4_A,yaotl," chimalli, macuahuitl, itztli,"
3111,8,A54r_5_A,xochiteca," xochitl, piqui,"
3112,8,A54v_1_A,maquiz," atl, tentli, macpalli,"
3113,8,A54v_2_A,tzapotlan," tzapotl, tlantli,"
3114,8,A54v_3_A,cohuana," atl, cihuatl, comitl,"
3115,8,A54v_4_A,texcoco," comitl, texcalli,"
3116,8,A55r_1_A,techaloa ?," tlatoa, tentli,"
3117,8,A55r_2_A,cohuatl," atl, comitl,"
3118,8,A55r_3_A,namol," cihuatl, molcaxitl,"
3119,8,A55r_3_B,cuauh," cuauhtli,"
3120,8,A55r_4_A,mazacihuatl," cihuatl, mazatl,"
3121,8,A55v_1_A,tlachiuhcan ?," tlantli, chian, itzcolotli, atl, macpalli,"
3122,8,A56r_1_A,tozquechol," olli, quemitl, topilli, tototl,"
3123,8,A56r_2_A,achotl ?," chian, atl, tototl, atl, tentli,"
3124,8,A56r_3_A,tecolotl," tecolotl, tetl,"
3125,8,A56r_4_A,tecolotl," tecolotl, tetl,"
3126,8,A56v_1_A,ehuacozca," cozcatl, ehuatl_2,"
3127,8,A56v_2_A,tozihui," ihuitl, toztli,"
3128,8,A56v_3_A,xicon," xocpalmachiyotl, otli, xicotli, comitl,"
3129,8,A56v_4_A,cuetzpal," tliltic, cuetzpalin,"
3130,8,A57r_1_A,quecil," cuetlachtli, quemitl, cilli,"
3131,8,A57r_2_A,tlaocol ?," tlantli, tlacatl,"
3132,8,A57r_3_A,cozcacuauh," cuauhtli, cozcatl,"
3133,8,A57r_3_B,mocnomatitl," tlacatl, ixayotl,"
3134,8,A57r_4_A,tetzauh," malacatl, tentli,"
3135,8,A57v_1_A,atonal," tlanextli, tototl, tentli, atl,"
3136,8,A57v_2_A,tzontemoc," xocpalmachiyotl, tetl, ?,"
